"","SampleID","Date","Timepoint","TotalColiforms_MPN","Ecoli_MPN","nitrate","TotCol_PA","richness","shannon","simp.even","J"
"GWQ_A004","GWQ_268A sink","12/6/18","Florence_1_Dec2018",NA,NA,0.008,0,349,2.55412067705249,0.0944153018189736,0.595302370780331
"GWQ_A005","GWQ_268B sink","12/6/18","Florence_1_Dec2018",NA,NA,0.008,0,473,3.39863278831228,0.121026303049863,0.723039460614646
"GWQ_A006","GWQ_296","12/6/18","Florence_1_Dec2018",NA,NA,0.011,0,798,3.70987167474346,0.0507215251185787,0.704246690537908
"GWQ_A007A","GWQ_303","12/8/18","Florence_1_Dec2018",NA,NA,0.023,0,386,2.86264055363777,0.0855191069716477,0.624353513292052
"GWQ_A007B","GWQ_337","12/6/18","Florence_1_Dec2018",NA,NA,0.009,0,373,2.88242361142562,0.0723187340703329,0.615622132657741
"NCGWQ_016_R2","NCGWQ_2003","8/11/19","Florence_3_Aug2019",0,NA,0.002,0,232,4.19805403846859,0.174520679565009,0.813725342139239
"NCGWQ_2001","NCGWQ_016 R2","8/11/19","Florence_3_Aug2019",0,NA,0.002,0,199,4.30603702342013,0.19731228668942,0.819028209959093
"NCGWQ_2002","NCGWQ_A005 R2","8/11/19","Florence_3_Aug2019",0,NA,0.004,0,140,3.61138880218108,0.164239084759205,0.751742918807635
"NCGWQ_2005","NCGWQ_004 R2","8/11/19","Florence_3_Aug2019",0,NA,0.004,0,91,3.08301842989331,0.108303389993677,0.692136967516295
"NCGWQ_303","NCGWQ_069 R2","8/11/19","Florence_3_Aug2019",0,NA,0,0,107,3.70333658214527,0.244486451192281,0.792525622773367
"NCGWQ_304","NCGWQ_301","9/2/19","Florence_4_Sept2019",0,NA,0,0,289,4.51517595456087,0.225424040898555,0.846693052756323
"NCGWQ_309","NCGWQ_307","9/2/19","Florence_4_Sept2019",25.6,0,0,1,131,3.58277094319333,0.138586006558905,0.738406553198013
"NCGWQ_A005_R2","NCGWQ_CS01","9/22/19","Florence_4_Sept2019",0,NA,7.251,0,142,3.8538205737388,0.275872353116612,0.823091106762043
